site,mean__point_density,mean__pulse_density,mean__scan_angle_mean,mean__chm,mean__veg_height_mean,mean__veg_height_median,mean__crr,mean__veg_height_q10,mean__veg_height_q20,mean__veg_height_q30,mean__veg_height_q40,mean__veg_height_q50,mean__veg_height_q60,mean__veg_height_q70,mean__veg_height_q80,mean__veg_height_q90,mean__veg_height_sd,mean__veg_height_cv,mean__veg_height_skew,mean__veg_height_kurt,mean__veg_height_gini,mean__canopy_cover_gt1m,mean__canopy_cover_gt1m_w,mean__fhd,mean__fhd_w,mean__vci,mean__vci_w,mean__shann_capture,mean__shann_capture_w,mean__norm_shann_capture,mean__norm_shann_capture_w,max__chm,sd__chm,sd__veg_height_mean,sd__veg_height_median,sd__crr,sd__veg_height_q10,sd__veg_height_q20,sd__veg_height_q30,sd__veg_height_q40,sd__veg_height_q50,sd__veg_height_q60,sd__veg_height_q70,sd__veg_height_q80,sd__veg_height_q90,sd__veg_height_sd,sd__veg_height_cv,sd__veg_height_skew,sd__veg_height_kurt,sd__veg_height_gini,sd__canopy_cover_gt1m,sd__canopy_cover_gt1m_w,sd__fhd,sd__fhd_w,sd__vci,sd__vci_w,sd__shann_capture,sd__shann_capture_w,sd__norm_shann_capture,sd__norm_shann_capture_w,cv__chm,cv__veg_height_mean,cv__veg_height_median,cv__veg_height_q10,cv__veg_height_q20,cv__veg_height_q30,cv__veg_height_q40,cv__veg_height_q50,cv__veg_height_q60,cv__veg_height_q70,cv__veg_height_q80,cv__veg_height_q90,cv__veg_height_sd
EPO_O_04,64.53917358320689,30.332989356204557,15.920574378967284,38.23988553261108,20.938319344567805,22.086914207028002,0.5636948257824403,6.262836075952338,8.498230910150328,11.94557641370823,17.071111286282648,22.086914207028002,26.22787970020509,29.499177172230883,32.16722438068431,34.891231843899206,12.699404600820554,0.6207498666726076,0.09295419539602937,0.1875435743572443,0.3039130737141272,0.868068835075493,0.8791824819091092,2.177094316535067,2.0703610925600557,0.5463568214451813,0.5195670845521694,2.026438891261621,2.016324617594517,0.5085461955187787,0.506003692707562,52.336400000000005,13.330357976312275,9.62797109547964,15.471899778097335,0.167675978763533,3.9525225959108092,6.000647687559623,9.833703814506165,13.559860002704998,15.471899778097335,16.11252135765676,16.021490773211077,15.575488709438739,14.668339639187328,5.705046596977113,0.2526065836646526,1.2837748463270338,4.083182423186405,0.11341105807639773,0.12549558649020093,0.13651400519765253,0.45768679186088884,0.44155030118620253,0.11487086549395012,0.11081734601492525,0.392976281281136,0.40413147383027886,0.098645650057504,0.10144700072293264,0.34875238578436996,0.4598362159805925,0.7006031240304549,0.6337746975149123,0.7062099366571636,0.8245638129836206,0.7951704167545959,0.7006031240304549,0.614380984259219,0.5430986718951859,0.4842587658246772,0.4204475076316651,0.44931451945262985
EPO_O_13,66.24526601112974,30.92835035974677,-0.0246670164167881,27.2994840658334,16.33033167403805,18.209494973753852,0.5907782786383566,4.237559801319115,7.436392659183317,11.010423380237603,14.775972532695434,18.209494973753852,20.84993210517515,22.82971890918035,24.302061684784984,25.627656997834197,9.239532509955183,0.6611539866220857,-0.40058558243712633,0.20759123148483152,0.32545790487789794,0.6854489547504755,0.6635479499187211,1.9727762115685255,1.8799738358393092,0.5366313166199331,0.5114077749470085,1.7901833962856972,1.7382555280780647,0.4869298735873443,0.47280986386627805,38.0424,6.7692952917182065,6.6185393799821,10.21249292130141,0.1753753875005688,6.121948645739799,8.24488054772073,9.552041919152426,10.237688325485523,10.21249292130141,9.782116559329907,9.193158788247729,8.538235018213035,7.697141480487746,3.4496459899065712,0.36788629912067167,1.2081868220138916,3.6720279892481167,0.1543046207656888,0.2037092804523947,0.2241280105718501,0.5207191913454552,0.51251885683118,0.1415578479129965,0.13932642308233512,0.4622089854240648,0.4744288877816946,0.12567273767369122,0.12899649523051487,0.2468193474444642,0.403710995565318,0.5580200400590318,1.492601263516658,1.12803179613832,0.873027710528895,0.6912712977570287,0.5580200400590318,0.46638928914271804,0.39994346918281487,0.3489698150993966,0.2983052906415703,0.3739905292166436
EPO_Y_10,97.65019539959128,49.11229692609308,-16.428121757507324,25.902797594582218,16.164698297025772,19.166752863011887,0.6118686274782213,2.629280332266591,7.3532238264434415,12.544016565369327,16.47792381973038,19.166752863011887,21.01592956105008,22.29019948989701,23.285208797378697,24.286949744688737,8.889301641589523,0.6402532522818614,-0.8073477169274683,0.3997773232206216,0.3139280688175611,0.652078525244268,0.6470725889362309,2.0868265130454633,1.9856727990113279,0.5888719036139252,0.5603011195825035,1.854315444207686,1.8154902643651076,0.52324764430013,0.5122513426251197,32.952600000000004,5.477747940793364,5.392217383704134,7.792733252366466,0.15063237808245739,5.429994173106186,8.244344237225892,8.952669425455875,8.496829836162162,7.792733252366466,7.133785647418941,6.668837923012175,6.28081623926999,5.851455036162132,2.527437211267993,0.3618213979064368,1.099696592230459,3.753243934269282,0.1442692708060324,0.19360459079516903,0.20809008086828715,0.5384077482993701,0.5038045639846618,0.15231064185937146,0.14251691780502587,0.4592030299367972,0.45953682023488857,0.12987757972691727,0.12995340318448098,0.21473612100199055,0.33863826908124184,0.4142462701053297,2.1826929110091524,1.1611198639277212,0.7303666491962956,0.5263721365585312,0.4142462701053297,0.34527030652247087,0.30403425434126563,0.27415265925308396,0.24501363825504957,0.2857147329206201
EPO_Y_15,64.43197779497606,26.600143003172338,-0.04835914958966896,19.754897332960603,10.734614018509838,11.556944715371129,0.5347717035245955,2.0836280212410334,3.7995743692844277,5.932555886088251,8.62687552125633,11.556944715371129,14.003929910461531,15.853164939574404,17.19826518799962,18.323209711724353,6.805572110080104,0.6938681184596491,-0.11298954249872777,-0.6915280202414463,0.36142400856654733,0.7749356568297813,0.7741974175250076,2.0936902524700436,2.011013183896788,0.6243999678140544,0.5997437449962365,1.8886358583777887,1.869014628589575,0.563270183248347,0.55742070578232,26.893,4.028354288882285,3.9605254497448628,6.677607833925942,0.14202706021864792,2.97108011313819,4.145915868193223,5.352197231680619,6.331368462726226,6.677607833925942,6.379951106371573,5.795499870976952,5.1639634500904394,4.59366274184449,1.9121330305574802,0.2361931564282548,0.9303501226361929,2.3202780223331034,0.11322064995811887,0.14409502220884265,0.16341111615437753,0.3469784268100785,0.34942551397364463,0.10341326553382676,0.10417062388888143,0.2972804926534798,0.31636930874106384,0.08861525037619364,0.0943142663323005,0.20499739755853413,0.3710245222361924,0.5812196565707789,1.4685911586259468,1.1055993242656441,0.9082750206906318,0.7376158745096726,0.5812196565707789,0.4582140954865438,0.36740748217219227,0.302000758458658,0.2521458825322533,0.2818775942044913
EPO_Y_36,42.76451606456258,20.418715231951904,-6.881373310089112,14.125612419659339,7.580438543579604,8.162662123032652,0.5204441252246473,1.4355729077213346,2.539926781331159,4.015970999429157,6.003644127230333,8.162662123032652,9.936162010395375,11.209897779292145,12.18234222768866,13.061397573463063,5.0783223098809,0.7584314101671046,0.018826345313807592,-0.23495525142975482,0.3773578559168961,0.6841350158937579,0.6607751180638572,1.6225036555246155,1.5419280242644546,0.5237060030911402,0.4977672540838382,1.4688936326014583,1.4131559330061936,0.47428822038893664,0.4562549520750977,20.8292,4.09873349360317,3.529163411153374,5.552112051277355,0.160847090752472,2.5845405498596805,3.6545918464728673,4.5405402105257355,5.203266617266556,5.552112051277355,5.561747857817145,5.329378636653115,4.996489947244025,4.590519044498355,1.936009811330154,0.31815432707408586,1.1226580259514283,3.072428579093241,0.13670188819836473,0.1979529881240924,0.2192253726031482,0.43063530133166666,0.4318207102569772,0.13961677291521493,0.13996051163793988,0.36637198994883025,0.3741494836438976,0.11875100215222008,0.12116872411888843,0.29568269325999985,0.4635210821769399,0.7006940524947465,1.7068249874610697,1.3792806377324618,1.1154650474342138,0.8795845418110021,0.7006940524947465,0.5738542790890289,0.4848733541707067,0.4178121261546105,0.35785426998543507,0.3885021803056811
EPO_Y_37,118.14819638026952,46.93649836150618,-11.766877174377441,19.546503046601913,10.165970490957742,10.397993258508505,0.5187854658363699,2.772838167934241,4.46556035607273,6.103130505368277,8.16413275875836,10.397993258508505,12.465642979600347,14.20451412607226,15.78072445469058,17.33414023245041,5.912427866990628,0.601493392008186,0.1516684766499114,-0.23191875092986564,0.3170678649165255,0.9005346238516874,0.905081508108745,2.201588235971566,2.103565920669466,0.6386666777007441,0.6102253212257936,2.0662961639874546,2.0483466888829307,0.5996177732488283,0.5943824856539746,29.839199999999998,5.400514191857178,4.011516112600868,5.917385081391108,0.1319399043354972,1.9743594709134116,2.4647441241393215,3.465141129438557,4.874385532989368,5.917385081391108,6.440644660603721,6.578335247057582,6.438416135359141,6.080530314900402,2.2181948529607647,0.18754680413596544,0.9014739241547176,2.5817113346241602,0.08830521805789578,0.10440521019140343,0.11515941002285743,0.3540014661003331,0.3570398621305972,0.1029198022551425,0.10383513264686531,0.30290736381588845,0.3162193669039738,0.08800525652154857,0.09185768137775091,0.28450256581577826,0.3992822588672803,0.5728717505778891,0.7124578295671486,0.5475634455098125,0.5586447289322571,0.5924005850587495,0.5728717505778891,0.5262432562696508,0.47403675157168434,0.418663858449731,0.3608957019685577,0.3897452912322582
EPY_O_01,70.85639614318657,32.18926561304404,18.78595085144043,24.30071967445173,17.91612015461694,19.992777684809088,0.732646311497582,8.897880739101842,13.489860753588104,16.589947639218913,18.611931463008084,19.992777684809088,21.032876058175646,21.857184194790023,22.546645442751363,23.247932696893695,6.27097379663836,0.3949312231680101,-1.4654341849295585,2.615523723196007,0.19369252288981045,0.7238864801135182,0.731313494647831,2.1029896853920573,2.0034845417829246,0.6080154811013361,0.5792435791780388,1.9276949092331477,1.903002279257473,0.5573449049667645,0.5502026621106557,30.3114,3.348425277527176,4.028550858760446,4.7120077859702025,0.12859804811462328,7.503424665744961,7.253733473033256,6.227998516067296,5.327677135700254,4.7120077859702025,4.244120927820666,3.9411026013164587,3.689473561074471,3.451999867409328,2.2964020317430816,0.2428201929079732,1.1097193137655847,5.010336927007755,0.12304937706557369,0.16127283398203168,0.17684367769247594,0.4597452652744479,0.43266043946565375,0.13294645757546578,0.12510888982857718,0.4342826644616912,0.4436993514396132,0.1255893318278543,0.12830485552331847,0.13787544737355972,0.22528827022640635,0.23616505930598491,0.8490908154159605,0.5404297102307748,0.3769435757069145,0.2870551963529554,0.23616505930598491,0.20207811474607307,0.18050045300387704,0.1637764384793831,0.14859479863177985,0.36713613400875456
EPY_O_07,110.86609555125196,30.837694856103457,0.04025334473699331,19.01123838668625,12.009557155891747,13.073561409709896,0.6234388072530421,4.584510091965506,7.153706848420578,9.426507729892284,11.397693035624695,13.073561409709896,14.470661905137243,15.65028121217344,16.64787847480766,17.617440013583007,5.09826850378026,0.4597566819277533,-0.5317038809763149,-0.2677013213613523,0.2492833868561914,0.7239171047035098,0.6981241371941783,2.3268413403399917,2.233076207371073,0.694907214985182,0.6669052525436634,2.049570180445536,1.993474771011511,0.6120658367210189,0.5952649379002699,26.9406,3.608839293377143,3.442406194299322,4.366923110475988,0.11594824060082673,3.29191731414749,4.018850192365052,4.332495285474552,4.402899482439409,4.366923110475988,4.271074378296076,4.160959715391075,4.035881052183354,3.838873193152632,1.3977595827601361,0.18708721674380688,0.7336842895352451,1.859149072873172,0.09238052191538881,0.12010461985756404,0.13604293472287937,0.3928964421375089,0.4004670567598895,0.11769896981996227,0.11993879446940055,0.339167863470158,0.3599209168741867,0.10158731131061742,0.10775252210785605,0.19378336728924092,0.28978948209019323,0.33813926939925626,0.7156525967374685,0.5619683312842292,0.461390043107485,0.38965241401746586,0.33813926939925626,0.29949536975257607,0.27031974081593113,0.24654394040227298,0.22182618252826378,0.2775848054776448
EPY_O_09,36.95402094595484,22.761553755284417,-12.558125495910645,16.1151005781962,12.04979469797504,13.220503684265935,0.7401529901260682,6.920292460035233,9.27877854421231,11.017379335549602,12.310376625464857,13.220503684265935,13.867869916227093,14.406877380053809,14.899596408901616,15.420755520198156,3.91987192500729,0.37993989111995286,-1.1134770071751146,1.6888203358437068,0.1857656627625135,0.6247409549999904,0.6270323602545385,1.5974903362976764,1.522036061065091,0.5002017531666961,0.47658461280865677,1.469478305695693,1.442499333819027,0.4600906767007899,0.4516387948246107,22.355,3.81709724556899,3.939250633763222,4.654323523641591,0.15366663638349448,5.3347145817182,5.4547775435437025,5.246807506694194,4.9277744191151465,4.654323523641591,4.4464840789759394,4.2774755561240685,4.13417352765453,3.975874625603017,1.8623387311397426,0.2569865025852017,1.2390374749715685,4.21772776583415,0.12846714352873295,0.19013851251495845,0.21300624597817902,0.4290182363690297,0.42292593074529383,0.13431342495782578,0.13240681553083067,0.39812888415816666,0.4118106734585318,0.12464045412715268,0.1289263664295077,0.2369057809383094,0.3268703298411664,0.35214248448872265,0.7764588349729531,0.5897895539964371,0.4770197232878542,0.4005746356643531,0.35214248448872265,0.3206676075408332,0.2969279376982139,0.2774541661967474,0.2578317888226536,0.4774113428296908
EPY_Y_03,38.076130681608404,20.87266945670377,-1.7623149037361145,8.354218011159729,5.754228827240134,5.9689147579554716,0.670645065773242,3.5358888574789424,4.3588716008478725,4.985573116638258,5.510741520169054,5.9689147579554716,6.3801898933853405,6.7747158695254965,7.195705106758193,7.6753185967845114,1.796350691995468,0.3907614437125915,-0.3967844054695713,0.36899311766437953,0.20278396158735332,0.5338968565519068,0.5090523607259501,1.3551648355161336,1.2653704918843895,0.48040732944041176,0.44853754179587524,1.2316230391299665,1.1768038562111889,0.4365900749640773,0.4171145440595468,15.072,3.4961913108335687,2.9434852581182644,3.20829276513071,0.16531162327729193,2.8835565392416638,3.037592897357962,3.1209571697585963,3.1729921425245773,3.20829276513071,3.24274408634097,3.2849402778424897,3.336323171017457,3.3899562091763693,0.9671591358081777,0.2652093134130459,1.0274022737971134,2.4357694598146558,0.12984337939644602,0.2550717608666565,0.2808290209659278,0.5540296743527936,0.5583996016208771,0.1965163402141999,0.19809688953657234,0.4907625897613118,0.5086467581858262,0.17407292303196348,0.1804378652459745,0.4207461417587098,0.5140454872191917,0.5399901475737467,0.8197779482910399,0.6991800104897895,0.628471713377838,0.5783846525208212,0.5399901475737467,0.5106899991403978,0.48731345827796424,0.46608391417034,0.44403829504144426,0.5394640977874628
EPY_Y_04,40.682020163355936,29.39061643446056,-0.03890907131135464,3.410365583575036,1.6188226225118256,1.580605886772767,0.4792313447627851,0.4345931089200388,0.7435856761305455,1.0372859371911025,1.3181002802737414,1.580605886772767,1.845738860838096,2.124636027616222,2.4412780818526465,2.8288026007623186,0.9813086890434256,0.6996500865615667,0.3347273070016067,-0.2207845500003253,0.36325740642318893,0.30369068351400397,0.2804416235855169,1.121582898008413,1.070619283936928,0.46348374207575527,0.4424240438781427,1.021319989468901,0.9863194114907143,0.42211260394479533,0.4076330794761521,9.708200000000001,2.3656378609527744,1.3138300294244722,1.4597723157641203,0.1623611615334169,0.6377986640785428,0.9069898451441996,1.125381944488773,1.3074835071470035,1.4597723157641203,1.606556507255982,1.750603486579968,1.9129467504060276,2.089517638546947,0.672479881672646,0.3285965597349524,0.8538565166891511,1.8869089784568842,0.13618533592627016,0.2715720146008318,0.275912718896831,0.5213815043345613,0.5123451044404501,0.21590258498141202,0.2121231481485018,0.45324371692225573,0.4556198542863557,0.1876742653678636,0.18861144968137739,0.7474883035920765,0.8636647038512912,0.9830426519193726,1.501024978826041,1.2657330486661338,1.1398785095297568,1.0504471258101789,0.9830426519193726,0.9305021154629453,0.8828902295646962,0.84147393720924,0.7935854378679474,0.7370235675110244
EPY_Y_05,106.94792471492954,50.413376339218416,12.2409423828125,5.733618063131276,3.074336945136639,3.0634394818359696,0.5456941455674218,1.4460367057084247,1.9461621548734223,2.3231510563473163,2.684608749206518,3.0634394818359696,3.4447319035475266,3.8273021555475104,4.238166877158584,4.736713143877276,1.3079838500779364,0.43754268195660684,-0.03138958246395741,-0.12535029660930236,0.2409621510332351,0.6471676692300121,0.6516067971463911,1.5994425208457363,1.5481641449013264,0.6346625241580395,0.6141961668711453,1.4429605912190413,1.4232527752956858,0.5725320277013785,0.5646093678810495,10.574200000000001,1.7866666041670132,0.9922105701376003,1.0937383437925345,0.10042006149976475,0.7125108870629073,0.7338521868334905,0.8212614321126374,0.9468302366164009,1.0937383437925345,1.2290756000502072,1.3365670405689498,1.430152408761146,1.5400378889370583,0.48036372209280065,0.13524951469803775,0.6391259662063679,1.4437193300011386,0.07191900936494687,0.1701163096603698,0.19271303593449063,0.3673280830424144,0.3817825702113335,0.14795215061958789,0.15366392742537086,0.3216342743118493,0.3372059221215328,0.12967529797960134,0.13597946220696677,0.32746128119121487,0.3366622966092352,0.3711849969191051,0.5076681718959082,0.3919674117634697,0.36828118953674965,0.36714823925993745,0.3711849969191051,0.3708593973382593,0.3632299880886651,0.35176146253300095,0.33948753724529857,0.37847094176551216
NRM_31,58.25256672786712,24.45682450392056,-1.761275625228882,20.541966206167494,13.048271770723144,13.64852694713144,0.6342080886953665,6.423787736281517,8.546956792150292,10.334790499410104,12.048769529872816,13.64852694713144,15.14496295370227,16.419555356081922,17.56735948831418,18.77688519513385,5.095217861893448,0.4126511585049286,-0.381723586318082,0.16686046242823022,0.2193417958306147,0.850812629199973,0.86352712703224,2.1401979134813165,2.0424635888957927,0.5907815061297619,0.5637895596343693,1.9847949081777336,1.976833243101963,0.5479746795258775,0.5457798570984729,36.1516,6.128783040002581,5.09670003098736,6.300659589535163,0.1268216741132539,4.28227370876156,4.849677029833779,5.42175626196696,5.951976620914719,6.300659589535163,6.466308185470346,6.504527672686725,6.42527916179391,6.28470584426647,2.060768704781873,0.15404478544612865,0.9235406773491173,2.3962421818352424,0.08510607288363761,0.11468705266950416,0.12101035419348061,0.3382377764092453,0.3495599166041353,0.09348216340834783,0.09659125249658916,0.2935345180291594,0.3074605677496215,0.0811001464329286,0.0849331172591506,0.3011686303580457,0.39211854023932446,0.46354698125733745,0.656538799509393,0.5626593993359663,0.5241783139605076,0.4956034447767036,0.46354698125733745,0.42879759880707935,0.3982918560031516,0.3681952735604512,0.3374477792853561,0.40882389077800785
NRM_O_15,51.014625641764084,20.28541960018394,11.074840927124024,16.994284953660376,10.072557815798898,10.291012744880268,0.5927102157567438,3.677972577324758,5.174560838859486,6.648945353860592,8.349850461493716,10.291012744880268,12.34427817314462,14.029655509211159,15.098293840677496,15.926150843784857,5.038283310308027,0.5292487937944074,-0.17788896400824644,-0.6383044781025414,0.2838177251366974,0.8648033216488319,0.8681722975618962,2.032225102930968,1.9409936284986262,0.5964526882292172,0.5696794411664456,1.9008248325433943,1.8848522479570786,0.557950050773196,0.5532721581063067,28.2112,4.677869293552546,3.4310999763521943,4.7784183495126324,0.12243019010788073,2.9193316305570325,3.2227341385510413,3.6171092712708144,4.191000077900198,4.7784183495126324,5.110054419963868,5.114820298884018,4.964710790484176,4.815291329606318,1.9727872864549778,0.2149676739025757,0.7642541139874003,1.8844887178358505,0.10790671542645261,0.14644593643475484,0.15898262456810536,0.41443506551237197,0.4157510337330891,0.12163359476111608,0.1220337149009391,0.34279327775233215,0.35410596555704243,0.10059247342062094,0.10390839533830425,0.2767013071956921,0.34122964977159087,0.4649472465843495,0.8114922885212026,0.6314361457894047,0.5470345926425145,0.5030753040838933,0.4649472465843495,0.4149729206843077,0.365978956386378,0.3302966087274454,0.30391597986393404,0.395233051951289
NRM_O_19,73.05371719938921,23.059747954299777,-0.008024094766005874,23.780319883958942,14.931659164776638,15.861684588549267,0.6241758175179244,5.84670187600462,8.130031847955081,10.400958148829423,13.052377165965703,15.861684588549267,18.40314331270049,20.375276633784146,21.668089319171806,22.61703271396494,6.915591748857142,0.4901193572030563,-0.3498994642667861,-0.5806144161386082,0.2630441306151738,0.8911135578989888,0.897808333686554,2.266996620797083,2.165422833046791,0.6379919325188224,0.6094205266342081,2.1041280138634932,2.0912318441721895,0.5921422232564505,0.5885178256346894,33.2496,3.748231024051165,3.902299927436868,5.887576865202223,0.11716980223228095,4.108956635717215,4.790650233653322,5.4065931332388955,5.876709350133908,5.887576865202223,5.580549674662853,5.128738121418513,4.645517180323237,4.203231179418269,1.9518526521636268,0.16494559759255362,0.779643008353885,2.1436256824412707,0.08954261013816109,0.09920644855516182,0.10610221510861446,0.32990326509301077,0.35825834875557117,0.09275185336753174,0.10074604083966907,0.2654988339415629,0.2764144921424413,0.07462508210176472,0.07769100248683913,0.1581801200924282,0.2617142067924588,0.3730477495796455,0.7007710213426144,0.5853540621894565,0.5167758105463109,0.45041592346121906,0.3730477495796455,0.3050868402583321,0.2532616197633741,0.21550225795332922,0.18661318778109162,0.2827150295140299
NRM_Y_39,68.47919650979574,31.208232564803076,14.49300765991211,14.03689863958051,8.023146358399448,8.443630485315982,0.5781999480757107,2.3571255578698276,3.7856874068714412,5.116465224240544,6.653701632567684,8.443630485315982,10.142025893082842,11.366342230300775,12.215583142578259,12.957806530514551,4.325224063752369,0.548492829881187,-0.3181979052826542,-0.3762652398916141,0.2938534323167049,0.8637889143726856,0.8764954184794291,1.9874955029338164,1.8841404153670296,0.5964156737075463,0.5652480023621931,1.9035593147131131,1.8947626152647477,0.571645909549984,0.5690116223163874,25.959600000000002,4.59168295496268,3.09679341815311,4.302469424794179,0.11651867263031537,1.9724968463403392,2.38754476276104,2.9056977161468165,3.6371378040793183,4.302469424794179,4.688749295397742,4.80540393406502,4.760544895961566,4.671932034128095,1.8348747010273534,0.17838687932663636,0.7927435619081171,2.1206295541815354,0.09252225413989973,0.11877505547124886,0.1257846748072676,0.3739699464830265,0.37731256183423245,0.11257766958245514,0.1136048227168814,0.3013140959649525,0.308872922371754,0.0906996951844914,0.09295690925179306,0.3387338832692869,0.38961947176389977,0.5072146190895824,0.8561618427139521,0.6497432830172125,0.5786798846492995,0.5476588406919328,0.5072146190895824,0.4635529571178503,0.4291565636073661,0.39897424717859864,0.3713410946069497,0.4442813100938595
NRM_Y_41,60.16853910213058,29.834661351834217,-0.07484463900327683,17.289279954363884,10.81824043032375,11.124508297847806,0.631285338953521,5.511090746704008,6.8235270588288115,7.99363398067546,9.425712524258811,11.124508297847806,12.684321188895456,13.90687176294335,14.912962514882917,15.872004751998805,4.350866893527149,0.40784807128287665,-0.18132101085575741,-0.2833984610877353,0.2179456472578925,0.9002407806305464,0.9165835194037214,2.0426747136158574,1.948625619652909,0.5911516292118052,0.5639244384449708,1.953525429575753,1.948583231678,0.5654764353389544,0.5640503201128305,29.019,3.841554230454232,2.8192404890521563,4.106721012803882,0.10413234824302472,2.282696604620482,2.2527708754587734,2.764779112565116,3.5156597418598485,4.106721012803882,4.305530772099913,4.258293887121313,4.131454806438619,4.000036874644758,1.5302804545629047,0.13103927435964632,0.8170654538006202,2.2435696131178213,0.07210322190834854,0.08699668748991468,0.08475389184278584,0.31134975096852874,0.32008236030726156,0.09005056859335173,0.09259348532428029,0.25666766712026007,0.2665533133871051,0.07423617596595497,0.07708852279768458,0.22330196129049043,0.2620914941166689,0.3698232619296956,0.41582611167838374,0.3320852676246325,0.34747102762256316,0.37424784071242057,0.3698232619296956,0.3397541214906036,0.3066000137487091,0.27762237079135904,0.25274359632496696,0.353969702174898
NRM_Y_69,107.71764643345762,40.06140616176244,-25.649169921875,19.417582791926737,10.983156813967337,11.369817467632876,0.564199337290064,3.854394893154951,5.811571446872665,7.428469817104421,9.334092528172516,11.369817467632876,13.276496518350339,14.907974343422064,16.30174565774284,17.598576485024175,5.501790822598519,0.5123767569829297,-0.10016435449406688,-0.6935027147969675,0.2789663796917464,0.8958951773531224,0.9107005410840022,2.3619236395738907,2.253594982860097,0.705930881104356,0.6735520899639085,2.2193059511182818,2.2188402487290526,0.6633336634751907,0.6631998876786733,26.736399999999996,3.6705521020275027,2.99576134639478,4.483347004453157,0.09866954465258068,2.0091625098445,1.9878895947597275,2.7062283198331465,3.755627711782599,4.483347004453157,4.767972625497227,4.740726483952892,4.5137689983140605,4.179925825418371,1.4415249481663017,0.11147635665165474,0.6269451687701545,1.3551577744334413,0.06146979117233988,0.073337718924889,0.07287142949439522,0.314458199631782,0.3101578422921373,0.0939790318740412,0.09269139344672325,0.26048311560074355,0.2705502012420484,0.07785702094744155,0.08086345024367628,0.19083270153614476,0.2741618461392574,0.39515786374803963,0.5277931829835392,0.3449965008189851,0.3646256071469894,0.40240611488913974,0.39515786374803963,0.36056624887765765,0.319280580639845,0.2782870305283479,0.23902799921432266,0.263471700196121
